CO2_EMISSIONS,CO2_INTENSITY,GEN_EXP,INTER_NET,SNSP_ALL,SYSTEM_DEMAND,WIND_ACTUAL,Timestamp,Region
0.743614515557535,1.8037470265139521,-0.79201954185327,0.2811561345676416,-1.231095348466542,-0.903692466468786,-0.9893585267915037,01-Aug-2024 00:00:00,ALL
0.7539275313249512,1.9917472502962348,-0.7958447478713069,0.017110507886825374,-1.3563411643390617,-1.0351628490586156,-0.9858872875517014,01-Aug-2024 00:30:00,ALL
0.4307863706125782,1.7097469146228108,-1.124812465422482,0.40240157539046534,-1.0100814442749344,-1.1835551620807994,-0.9639027723662871,01-Aug-2024 01:00:00,ALL
0.3139055252485284,1.6345468251098976,-1.2051417918012572,0.4104846047786536,-0.9252159720030682,-1.2603546925045612,-0.9396040976876713,01-Aug-2024 01:30:00,ALL
0.21077536757436685,1.521746690840528,-1.2038667231285782,0.3565977421907319,-0.9718570718982561,-1.2824833707622554,-0.9546461343934811,01-Aug-2024 02:00:00,ALL
0.17983632027211838,1.3713465118147017,-1.1413883581673085,0.3754581440965045,-1.0187973991163446,-1.2056838403384935,-0.9673740116060894,01-Aug-2024 02:30:00,ALL
0.13170891335750964,1.3713465118147017,-1.2242678218914418,0.41587329103744575,-0.9812021713673035,-1.269466501198906,-0.9801018888186976,01-Aug-2024 03:00:00,ALL
0.12483356951256552,1.4277465789493866,-1.2446689206543053,0.359292085320128,-1.0273368865621981,-1.3228356664086387,-0.9997722445109104,01-Aug-2024 03:30:00,ALL
0.0698308187530127,1.3713465118147017,-1.217892478528047,0.27037876205005723,-0.9358653957001434,-1.342360970753663,-0.9118341837692533,01-Aug-2024 04:00:00,ALL
0.004515052226043698,1.3337464670582453,-1.3020470109248592,0.3431260265437515,-0.8873828968947982,-1.389221701181721,-0.9234049812352608,01-Aug-2024 04:30:00,ALL
0.1351465852799817,1.4841466460840713,-1.0903856112601498,-0.04755372721868063,-1.045942688050244,-1.3540761533606775,-0.8562943559324172,01-Aug-2024 05:00:00,ALL
0.2589027744889756,1.6721468698663542,-0.9016754477036617,-0.4517051966280932,-1.2992654706196503,-1.3527744664043426,-0.8331527610004021,01-Aug-2024 05:30:00,ALL
0.3654706040856092,1.6721468698663542,-0.7792688551264803,-0.45978822601628144,-1.3506788626903288,-1.2278125185961877,-0.8343098407470029,01-Aug-2024 06:00:00,ALL
0.1763986483496463,1.0893461761412777,-0.9960305294819056,-0.03408201157170022,-0.9823146832088566,-0.9713801881982032,-0.8227390432809953,01-Aug-2024 06:30:00,ALL
0.17983632027211838,0.7509457733331687,-0.934827233193315,0.5236470162132891,-0.6846525493819592,-0.6446567621581315,-0.8030686875887826,01-Aug-2024 07:00:00,ALL
0.2589027744889756,0.45014541528151636,-0.6377362324591143,0.7957756722822936,-0.6791974051106187,-0.20078151004791472,-0.8528231166926149,01-Aug-2024 07:30:00,ALL
0.43422404253505026,0.4125453705250598,-0.35084578110634534,0.7957756722822936,-0.832087222121872,0.08689130730210849,-0.9546461343934811,01-Aug-2024 08:00:00,ALL
0.5098528248294354,0.29974523625569016,-0.09965725258858768,0.7957756722822936,-0.9216866240919337,0.3407202637874231,-0.9801018888186976,01-Aug-2024 08:30:00,ALL
0.4720384336822428,0.14934505722986396,-0.028253406918565198,0.7957756722822936,-0.7756560180210154,0.4943193246349468,-0.9361328584478691,01-Aug-2024 09:00:00,ALL
0.47891377752718695,0.1305450348516357,0.08395263627718443,0.7957756722822936,-0.6850668641367441,0.5346716202813302,-0.9245620609818616,01-Aug-2024 09:30:00,ALL
0.5682932475114603,0.24334516912100534,0.08140249893182648,0.7930813291528975,-0.4048903474608801,0.5177496898489758,-0.800754528095581,01-Aug-2024 10:00:00,ALL
0.5098528248294354,0.22454514674277706,0.00999865326180399,0.7930813291528975,-0.37256612409216355,0.45917377681390326,-0.800754528095581,01-Aug-2024 10:30:00,ALL
0.21765071141931094,-0.07625521130887532,-0.02060299488249136,0.7957756722822936,-0.015058525685159757,0.4253299159491946,-0.7880266508829727,01-Aug-2024 11:00:00,ALL
-0.12955415275036633,-0.4710556812516691,-0.025703269573207253,0.7957756722822936,0.13414849350577931,0.4188214811675199,-0.7833983318965697,01-Aug-2024 11:30:00,ALL
-0.17080621582003097,-0.5274557483863539,-0.0053021708103436855,0.7930813291528975,0.2211622645061623,0.4383467855125441,-0.7429005407655435,01-Aug-2024 12:00:00,ALL
-0.2876870611840808,-0.6402558826557235,-0.02442820090052828,0.7930813291528975,0.3842334829914928,0.4188214811675199,-0.7232301850733306,01-Aug-2024 12:30:00,ALL
-0.2842493892616087,-0.6402558826557235,-0.030803544263923146,0.7903869860235014,0.38167854200365003,0.40970967247317525,-0.6457058420510803,01-Aug-2024 13:00:00,ALL
-0.4045679065481305,-0.7154559721686367,-0.12515862604216715,0.7930813291528975,0.5236273804903865,0.3133848377043892,-0.6352921243316735,01-Aug-2024 13:30:00,ALL
-0.47332134499757156,-0.7718560393033215,-0.1646857548952153,0.7903869860235014,0.6194338312867694,0.26782579423266606,-0.571652738268632,01-Aug-2024 14:00:00,ALL
-0.4801966888425157,-0.7906560616815497,-0.021878063555170333,0.5613678200248343,0.5743809379515917,0.31078146379171934,-0.4721438800609674,01-Aug-2024 14:30:00,ALL
-0.4561329853852113,-0.7530560169250932,0.008723584589125017,0.43203934981382225,0.548348160859246,0.27563591597067577,-0.4270177699435381,01-Aug-2024 15:00:00,ALL
